Epoch,Loss
1,7.488859702148706
2,2.1701198972269506
3,1.5495178712493056
4,1.294067705849746
5,1.1131842066766542
6,0.9546256399817329
7,0.9133017138030353
8,0.7909500989970739
9,0.7613442884106563
10,0.672474911574025
11,0.6679293895388886
12,0.5823371922780198
13,0.5075027309666843
14,0.43483993557880596
15,0.4017077125933686
16,0.37301445996882243
17,0.4498421808850455
18,0.3365676636567009
19,0.34856772213712856
20,0.3440954610082877
21,0.3399469712100351
22,0.26977142562827794
23,0.32218977053344133
24,0.2680902385709487
25,0.2828407726027662
26,0.2489740380367746
27,0.2657434023705921
28,0.26546126848370477
29,0.23946995093724077
30,0.290271666850256
31,0.22021806517134085
32,0.24452512278286223
33,0.23676391120754184
34,0.22483383236026888
35,0.2731445629691507
36,0.2246206485415314
37,0.1915533948824001
38,0.21808484715802479
39,0.19325247986085337
40,0.20561441259158325
41,0.17122871132758316
42,0.20527835515142417
43,0.18524485752429123
44,0.18490383480019545
45,0.20212928480683937
46,0.16767839389710085
47,0.17105161738638547
48,0.16074027178223738
49,0.23444762950788978
50,0.15256729596795696
